"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"Managed Services,Existing Source,Direct Cost,COE,Managed Services,,0,202310,0,YTD,Oct  1 2023 12:00AM,IDR",,
"MNO,Existing Source,Direct Cost,COE,MNO,Retail,1637393258,202310,2272997588,MTD,Oct  1 2023 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-1632296214,202207,394876576","2,YTD,Jul  1 2022 12:00AM,IDR",
"Data Center Colocation and Power,Existing Source,Revenue,Revenue,Data Center,Recurring Business,-62588013700,202207,56547624948,MTD,Jul  1 2022 12:00AM,IDR",,
"Data Center Colocation and Power,Existing Source,Revenue,Revenue,Data Center,Recurring Business,-4","1005E+11,202207,3","88517E+11,YTD,Jul  1 2022 12:00AM,IDR"
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,-1","87579E+11,202207,1","7427E+11,MTD,Jul  1 2022 12:00AM,IDR"
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,-1","27969E+12,202207,1","13735E+12,YTD,Jul  1 2022 12:00AM,IDR"
"Other Data,Existing Source,Revenue,Revenue,Data,Recurring Business,-9049582920,202207,9276146521,MTD,Jul  1 2022 12:00AM,IDR",,
"Other Data,Existing Source,Revenue,Revenue,Data,Recurring Business,-60630892864,202207,62550751112,YTD,Jul  1 2022 12:00AM,IDR",,
"PKSO,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-14416666667,202207,14416666667,MTD,Jul  1 2022 12:00AM,IDR",,
"Voice Hubbing,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-2","60042E+11,202207,2","57299E+11,MTD,Jul  1 2022 12:00AM,IDR"
"Voice Hubbing,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-2","11592E+12,202207,1","77919E+12,YTD,Jul  1 2022 12:00AM,IDR"
"CDN & Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,5651563348,202208,7463940050,MTD,Aug  1 2022 12:00AM,IDR",,
"CDN & Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,48142795994,202208,56738385066,YTD,Aug  1 2022 12:00AM,IDR",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,87138281219,202208,86148626904,YTD,Aug  1 2022 12:00AM,IDR",,
"MNO,Existing Source,Direct Cost,COE,MNO,Retail,1260407302,202208,1667628927,MTD,Aug  1 2022 12:00AM,IDR",,
"MVNO VAS,Existing Source,Direct Cost,COE,MVNO,Retail,6691682634,202208,7444475667,MTD,Aug  1 2022 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-1869131863,202208,451285465","6,YTD,Aug  1 2022 12:00AM,IDR",
"BPO,Existing Source,Revenue,Revenue,BPO,Others,-25881111774,202208,13577630945,YTD,Aug  1 2022 12:00AM,IDR",,
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,-1","46467E+12,202208,1","31639E+12,YTD,Aug  1 2022 12:00AM,IDR"
"MVNO Digital Retail,Existing Source,Revenue,Revenue,MVNO,Retail,-391572738,202208,98872861","41,MTD,Aug  1 2022 12:00AM,IDR",
"MVNO SMS,Existing Source,Revenue,Revenue,MVNO,Retail,-427994224,202208,338512820","5,YTD,Aug  1 2022 12:00AM,IDR",
"MVNO Voice,Existing Source,Revenue,Revenue,MVNO,Retail,-793678282,202303,793678282,MTD,Mar  1 2023 12:00AM,IDR",,
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,33819115257,202304,33819115257,MTD,Apr  1 2023 12:00AM,IDR",,
"MVNO Digital Retail,Existing Source,Direct Cost,COE,MVNO,Retail,21730782184,202304,21730782184,YTD,Apr  1 2023 12:00AM,IDR",,
"MVNO Fee,Existing Source,Direct Cost,COE,MVNO,Retail,224161942,202304,224161942,YTD,Apr  1 2023 12:00AM,IDR",,
"CDN & Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,7220203444,202311,7262908972,MTD,Nov  1 2023 12:00AM,IDR",,
"CDN & Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,62700543545,202311,62240565920,YTD,Nov  1 2023 12:00AM,IDR",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,1","21019E+11,202311,1","21859E+11,YTD,Nov  1 2023 12:00AM,IDR"
"MNO,Existing Source,Direct Cost,COE,MNO,Retail,1491327384,202311,2277115370,MTD,Nov  1 2023 12:00AM,IDR",,
"IPLC/IEPL,Existing Source,Revenue,Revenue,Data,Recurring Business,-14898422","820,200,711,431,665","41,YTD,Jul  1 2020 12:00AM,USD"
"MVNO Voice,Existing Source,Revenue,Revenue,MVNO,Retail,-1148594","5,662,020,071,197,910","651,YTD,Jul  1 2020 12:00AM,USD"
"Other Data,Existing Source,Revenue,Revenue,Data,Recurring Business,-6575428","312,020,073,728,850","966,YTD,Jul  1 2020 12:00AM,USD"
"Managed Service,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-1","68E-10,201905,0,YTD,May  1 2019 12:00AM,USD",
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"Voice,Existing Source,Direct Cost,COE,Voice,,6","23347E+11,202002,4","85393E+11,YTD,Feb  1 2020 12:00AM,IDR"
"Wifi Roaming,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,0,202002,0,MTD,Feb  1 2020 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,0,202002,165024000,YTD,Feb  1 2020 12:00AM,IDR",,
"MVNO Fee,Existing Source,Direct Cost,COE,MVNO,Retail,2425277436,202012,999415384","6,YTD,Dec  1 2020 12:00AM,IDR",
"MVNO SMS,Existing Source,Direct Cost,COE,MVNO,Retail,313324","598,220,201,253,500,000","57,MTD,Dec  1 2020 12:00AM,IDR"
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,4","51366E+11,202012,6","29192E+11,YTD,Dec  1 2020 12:00AM,IDR"
"Data Center,Existing Source,Revenue,Revenue,Data Center,Recurring Business,-71064580243,202012,46567520076,MTD,Dec  1 2020 12:00AM,IDR",,
"Go Presence,Existing Source,Revenue,Revenue,Digital Business,Recurring Business,34021913,202012,56993670","87,MTD,Dec  1 2020 12:00AM,IDR",
"Data Center Sale of Equipment and Solution,ENLA,Revenue,Revenue,Data Center,Recurring Business,-1954793","025,202308,0,YTD,Aug  1 2023 12:00AM,IDR",
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,19475129895,202308,0,YTD,Aug  1 2023 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-1","13674E+12,202308,1","11942E+12,YTD,Aug  1 2023 12:00AM,IDR"
"IPLC/IEPL,ROAM,Revenue,Revenue,Data,Recurring Business,-57673196610,202308,84194937423,YTD,Aug  1 2023 12:00AM,IDR",,
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,6739685685,202308,0,YTD,Aug  1 2023 12:00AM,IDR",,
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,-17876202874,202308,32654747353,YTD,Aug  1 2023 12:00AM,IDR",,
"CDN & Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-19933273345,202309,13450359007,MTD,Sep  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Direct Cost,COE,Data Center,Recurring Business,789303147","1,202309,0,MTD,Sep  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,90708883","82,202309,0,MTD,Sep  1 2023 12:00AM,IDR",
"Data Center Sale of Equipment and Solution,ROAM,Direct Cost,COE,Data Center,Recurring Business,12662940","76,202309,0,MTD,Sep  1 2023 12:00AM,IDR",
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,544373487","5,202309,0,MTD,Sep  1 2023 12:00AM,IDR",
"CDN Infrastructure,ENLA,Direct Cost,COE,Data,Recurring Business,5701177517,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"Go Presence,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,82206752491,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"IP VPN,ROAM,Revenue,Revenue,Data,Recurring Business,-26279341336,202309,27090044076,YTD,Sep  1 2023 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Direct Cost,COE,Data,Recurring Business,53142180990,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,26742970028,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,202403,0,MTD,Mar  1 2024 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,7296878226,202403,0,MTD,Mar  1 2024 12:00AM,IDR",,
"CDN & Security,ENLA,Direct Cost,COE,Digital Business,Recurring Business,15330275397,202403,0,YTD,Mar  1 2024 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,9488440450,202403,0,YTD,Mar  1 2024 12:00AM,IDR",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,5925316750,202403,0,YTD,Mar  1 2024 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-18728032398,202403,21991137750,YTD,Mar  1 2024 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-4","17974E+11,202403,4","45021E+11,YTD,Mar  1 2024 12:00AM,IDR"
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,46120881754,202403,0,YTD,Mar  1 2024 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Revenue,Revenue,Data,Recurring Business,-28368667074,202403,32853971550,YTD,Mar  1 2024 12:00AM,IDR",,
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,1356375428,202403,0,YTD,Mar  1 2024 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ROAM,Revenue,Revenue,Data Center,Recurring Business,-613633763","4,202206,0,YTD,Jun  1 2022 12:00AM,IDR",
"IP VPN,ROAM,Revenue,Revenue,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Direct Cost,COE,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,43482237942,201811,0,MTD,Nov  1 2018 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,1726654274,201811,0,MTD,Nov  1 2018 12:00AM,IDR",,
"CDN & Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"CDN Infrastructure,ENLA,Revenue,Revenue,Data,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"Data Center Colocation and Power,SEAN,Direct Cost,COE,Data Center,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"CDN & Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"CDN & Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"Go Presence,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,54818828495,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,0,201810,0,YTD,Oct  1 2018 12:00AM,IDR",,
"CDN & Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201811,0,YTD,Nov  1 2018 12:00AM,IDR",,
"CDN & Security,ENLA,Revenue,Revenue,Digital Business,Recurring Business,-1649394505,202102,0,MTD,Feb  1 2021 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Revenue,Revenue,Data Center,Recurring Business,-852889812","5,202102,0,MTD,Feb  1 2021 12:00AM,IDR",
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,-8622749439,202102,0,MTD,Feb  1 2021 12:00AM,IDR",,
"IP VPN,ROAM,Direct Cost,COE,Data,Recurring Business,1082068717,202102,0,MTD,Feb  1 2021 12:00AM,IDR",,
"IP VPN,ENLA,Revenue,Revenue,Data,Recurring Business,-7007871773,202102,0,MTD,Feb  1 2021 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,-571305893","6,202102,0,MTD,Feb  1 2021 12:00AM,IDR",
"CDN Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Revenue,Revenue,Data Center,Recurring Business,-1647503511,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-21580000,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,-1998388637,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,692416462","2,202102,0,YTD,Feb  1 2021 12:00AM,IDR",
"IP VPN,ENLA,Revenue,Revenue,Data,Recurring Business,-14195605147,202102,0,YTD,Feb  1 2021 12:00AM,IDR",,
"CDN & Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-7886480324,202306,9450359007,MTD,Jun  1 2023 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,-67846503","25,202306,0,MTD,Jun  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,97532762","72,202306,0,MTD,Jun  1 2023 12:00AM,IDR",
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-6907800282,202306,14368672546,MTD,Jun  1 2023 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,363168178","1,202306,0,MTD,Jun  1 2023 12:00AM,IDR",
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,804802675","3,202306,0,MTD,Jun  1 2023 12:00AM,IDR",
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,-2583420836,202306,5459826613,MTD,Jun  1 2023 12:00AM,IDR",,
"CDN & Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,366461082","8,202306,0,YTD,Jun  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ROAM,Direct Cost,COE,Data Center,Recurring Business,4457244598,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,401307545","3,202306,0,YTD,Jun  1 2023 12:00AM,IDR",
"Data Center Sale of Equipment and Solution,SEAN,Revenue,Revenue,Data Center,Recurring Business,-5436630022,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"Go Presence,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-8","67506E+11,202306,8","33789E+11,YTD,Jun  1 2023 12:00AM,IDR"
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,54627956996,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,SEAN,Direct Cost,COE,Data Center,Recurring Business,1","5465E+11,202303,0,YTD,Mar  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ROAM,Revenue,Revenue,Data Center,Recurring Business,-7022039874,202303,8901891900,YTD,Mar  1 2023 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ROAM,Revenue,Revenue,Data Center,Recurring Business,-34214183","42,202303,0,YTD,Mar  1 2023 12:00AM,IDR",
"Go Presence,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202303,0,YTD,Mar  1 2023 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,2095282968,202303,0,YTD,Mar  1 2023 12:00AM,IDR",,
"CDN & Security,ROAM,Direct Cost,COE,Digital Business,Recurring Business,-27102718","41,202304,0,MTD,Apr  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,SEAN,Direct Cost,COE,Data Center,Recurring Business,51808413012,202304,0,MTD,Apr  1 2023 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ROAM,Revenue,Revenue,Data Center,Recurring Business,-16734691","98,202304,0,MTD,Apr  1 2023 12:00AM,IDR",
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,888602250","9,202103,0,YTD,Mar  1 2021 12:00AM,IDR",
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-37109982982,202103,0,YTD,Mar  1 2021 12:00AM,IDR",,
"Go Presence,ENLA,Direct Cost,COE,Digital Business,Recurring Business,3295","316964,202104,0,MTD,Apr  1 2021 12:00AM,IDR",
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-1","61566E+11,202104,0,MTD,Apr  1 2021 12:00AM,IDR",
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,-5137696642,202104,0,MTD,Apr  1 2021 12:00AM,IDR",,
"CDN Infrastructure,ENLA,Direct Cost,COE,Data,Recurring Business,0,202104,0,YTD,Apr  1 2021 12:00AM,IDR",,
"Data Center Colocation and Power,SEAN,Revenue,Revenue,Data Center,Recurring Business,-2","35398E+11,202104,0,YTD,Apr  1 2021 12:00AM,IDR",
"Go Presence,ENLA,Direct Cost,COE,Digital Business,Recurring Business,3295","316964,202104,0,YTD,Apr  1 2021 12:00AM,IDR",
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-6","44889E+11,202104,0,YTD,Apr  1 2021 12:00AM,IDR",
"IP VPN,ROAM,Revenue,Revenue,Data,Recurring Business,-10564686089,202104,0,YTD,Apr  1 2021 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Direct Cost,COE,Data,Recurring Business,1040549666,202104,0,YTD,Apr  1 2021 12:00AM,IDR",,
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,-23649108291,202104,0,YTD,Apr  1 2021 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,201701,0,YTD,Jan  1 2017 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201701,0,YTD,Jan  1 2017 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,201701,0,YTD,Jan  1 2017 12:00AM,IDR",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201701,0,YTD,Jan  1 2017 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,0,201701,0,YTD,Jan  1 2017 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,2429471845,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,-8422979838,202301,7859043554,MTD,Jan  1 2023 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Revenue,Revenue,Data,Recurring Business,-7157813240,202301,8327968640,MTD,Jan  1 2023 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,1025740666,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"CDN Infrastructure,ROAM,Direct Cost,COE,Data,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,ENLA,Direct Cost,COE,Data Center,Recurring Business,-31234525","57,202301,0,YTD,Jan  1 2023 12:00AM,IDR",
"Go Presence,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,31669928873,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,10044289954,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"CDN & Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,3353916437,202302,0,MTD,Feb  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,SEAN,Direct Cost,COE,Data Center,Recurring Business,50068740568,202302,0,MTD,Feb  1 2023 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,ROAM,Revenue,Revenue,Data Center,Recurring Business,-17053332","18,202302,0,MTD,Feb  1 2023 12:00AM,IDR",
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,-1","6707E+11,202302,1","37907E+11,MTD,Feb  1 2023 12:00AM,IDR"
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,3499266671,202302,0,MTD,Feb  1 2023 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-38618500942,202302,40030704545,MTD,Feb  1 2023 12:00AM,IDR",,
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,-6695373844,202302,6273011424,MTD,Feb  1 2023 12:00AM,IDR",,
"CDN Infrastructure,ROAM,Direct Cost,COE,Data,Recurring Business,0,202302,0,YTD,Feb  1 2023 12:00AM,IDR",,
"CDN Infrastructure,ENLA,Revenue,Revenue,Data,Recurring Business,-6771308970,202302,8969046078,YTD,Feb  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,SEAN,Revenue,Revenue,Data Center,Recurring Business,-1","31812E+11,202302,1","3056E+11,YTD,Feb  1 2023 12:00AM,IDR"
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,63026992443,202302,0,YTD,Feb  1 2023 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,-14323145","58,202308,0,MTD,Aug  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ROAM,Direct Cost,COE,Data Center,Recurring Business,788109529","9,202308,0,MTD,Aug  1 2023 12:00AM,IDR",
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,81133249","92,202308,0,MTD,Aug  1 2023 12:00AM,IDR",
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-6791142641,202308,14367661624,MTD,Aug  1 2023 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,614230971","2,202308,0,MTD,Aug  1 2023 12:00AM,IDR",
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,651009386","6,202308,0,MTD,Aug  1 2023 12:00AM,IDR",
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,-3055442597,202308,4848451712,MTD,Aug  1 2023 12:00AM,IDR",,
"CDN Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,21397408202,202308,0,YTD,Aug  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,ROAM,Direct Cost,COE,Data Center,Recurring Business,6027513439,202308,0,YTD,Aug  1 2023 12:00AM,IDR",,
"Data Center Colocation and Power,ENLA,Revenue,Revenue,Data Center,Recurring Business,585041522","9,202308,0,YTD,Aug  1 2023 12:00AM,IDR",
"IPLC/IEPL,Existing Source,Direct Cost,COE,Data,Recurring Business,21827510214,202205,19298310514,MTD,May  1 2022 12:00AM,IDR",,
"MNO,Existing Source,Direct Cost,COE,MNO,Retail,1065062922,202205,1738768207,MTD,May  1 2022 12:00AM,IDR",,
"MVNO Data,Existing Source,Direct Cost,COE,MVNO,Retail,16267952793,202205,18472897764,YTD,May  1 2022 12:00AM,IDR",,
"MVNO SMS,Existing Source,Direct Cost,COE,MVNO,Retail,14242062,202205,27316780","75,MTD,May  1 2022 12:00AM,IDR",
"MVNO VAS,Existing Source,Direct Cost,COE,MVNO,Retail,7083654757,202205,6795776615,MTD,May  1 2022 12:00AM,IDR",,
"NeuTRAFIX,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,242563030,202205,210609605","6,MTD,May  1 2022 12:00AM,IDR",
"Other Data,Existing Source,Revenue,Revenue,Data,Recurring Business,-8898653234,202201,8929778262,YTD,Jan  1 2022 12:00AM,IDR",,
"Other Digital,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-511830352,202201,97916999","3,MTD,Jan  1 2022 12:00AM,IDR",
"Voice Incoming,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-3","15899E+11,202201,9772905004,MTD,Jan  1 2022 12:00AM,IDR",
"CDN Infrastructure,Existing Source,Direct Cost,COE,Data,Recurring Business,5493794866,202202,0,MTD,Feb  1 2022 12:00AM,IDR",,
"MVNO VAS,Existing Source,Direct Cost,COE,MVNO,Retail,2806937143,202311,5791593415,MTD,Nov  1 2023 12:00AM,IDR",,
"MVNO VAS,Existing Source,Direct Cost,COE,MVNO,Retail,24214506743,202311,45563210928,YTD,Nov  1 2023 12:00AM,IDR",,
"Other Digital,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,63157903,202206,0,MTD,Jun  1 2022 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-233400284,202206,56408889","45,MTD,Jun  1 2022 12:00AM,IDR",
