"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-42893908861,202401,53958290850,MTD,Jan  1 2024 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,-46177138858,202401,31845511253,MTD,Jan  1 2024 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,13058050623,202401,0,MTD,Jan  1 2024 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,-388185885","2,202401,637135650,MTD,Jan  1 2024 12:00AM,IDR",
"Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Satellite,Existing Source,Direct Cost,COE,Satellite,,0,201806,0,MTD,Jun  1 2018 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-8372995309,202401,9248889150,YTD,Jan  1 2024 12:00AM,IDR",,
"Data Center ,SEAN,Direct Cost,COE,Data Center,Recurring Business,28955809011,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,-2792537193,202401,2898981300,YTD,Jan  1 2024 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,-3720330326,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Go Presence,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202401,0,YTD,Jan  1 2024 12:00AM,IDR",,
"Data Center ,SEAN,Direct Cost,COE,Data Center,Recurring Business,34293972796,202212,23781900000,MTD,Dec  1 2022 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,9132394978,202212,5598960000,MTD,Dec  1 2022 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,2750094889,202212,2949770000,MTD,Dec  1 2022 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-37396891098,202212,312522424","4,MTD,Dec  1 2022 12:00AM,IDR",
"Infrastructure,ROAM,Direct Cost,COE,Data,Recurring Business,0,202212,0,YTD,Dec  1 2022 12:00AM,IDR",,
"Infrastructure,ENLA,Revenue,Revenue,Data,Recurring Business,-6058227636,202212,0,YTD,Dec  1 2022 12:00AM,IDR",,
"Go Presence,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202212,0,YTD,Dec  1 2022 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,36785032046,202212,36142310000,YTD,Dec  1 2022 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-4","2803E+11,202212,3","67049E+11,YTD,Dec  1 2022 12:00AM,IDR"
"Security,ENLA,Direct Cost,COE,Digital Business,Recurring Business,4095657864,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"Security,ENLA,Revenue,Revenue,Digital Business,Recurring Business,-21173908,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,-2324185278,202301,2828832300,MTD,Jan  1 2023 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,20000,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,1810884441,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,10892266109,202301,0,MTD,Jan  1 2023 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,-724592771","8,202301,613427794,MTD,Jan  1 2023 12:00AM,IDR",
"Security,ENLA,Direct Cost,COE,Digital Business,Recurring Business,4095657864,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,-2324185277,202301,2828832300,YTD,Jan  1 2023 12:00AM,IDR",,
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,20000,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,1810884441,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-3491995790,202301,14390134164,YTD,Jan  1 2023 12:00AM,IDR",,
"IP VPN,ROAM,Direct Cost,COE,Data,Recurring Business,1223910499,202301,0,YTD,Jan  1 2023 12:00AM,IDR",,
"IP VPN,ENLA,Revenue,Revenue,Data,Recurring Business,-8177844896,202301,7480062345,YTD,Jan  1 2023 12:00AM,IDR",,
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,976426396","9,202301,0,YTD,Jan  1 2023 12:00AM,IDR",
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,-2256063425,202301,3335523971,YTD,Jan  1 2023 12:00AM,IDR",,
"Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,37516131458,202110,0,YTD,Oct  1 2021 12:00AM,IDR",,
"Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,-4996187906,202110,0,YTD,Oct  1 2021 12:00AM,IDR",,
"Data Center ,ROAM,Direct Cost,COE,Data Center,Recurring Business,5037096064,202110,0,YTD,Oct  1 2021 12:00AM,IDR",,
"Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,202302,0,YTD,Feb  1 2023 12:00AM,USD",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-766658","1,912,023,021,129,230","483,YTD,Feb  1 2023 12:00AM,USD"
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,-3468","06721,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Data Center,SEAN,Direct Cost,COE,Data Center,Recurring Business,6757692","096,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,-1120","994382,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,-117630","5576,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Data Center,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Data Center,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Data Center,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,12663571","98,201804,0,YTD,Apr  1 2018 12:00AM,USD",
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,881743","2438,201804,0,YTD,Apr  1 2018 12:00AM,USD",
"Other Data,Existing Source,Direct Cost,COE,Data,Retail,149949","8998,201804,0,YTD,Apr  1 2018 12:00AM,USD",
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,1270950","977,201804,0,YTD,Apr  1 2018 12:00AM,USD",
"Other Data,Existing Source,Direct Cost,COE,Data,Recurring Business,237166","9629,201804,0,YTD,Apr  1 2018 12:00AM,USD",
"BPO,Existing Source,Direct Cost,COE,BPO,Others,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,-12932","53813,202301,0,YTD,Jan  1 2023 12:00AM,USD",
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,USD",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,202301,0,YTD,Jan  1 2023 12:00AM,USD",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,-163504","7,651,202,301,340,120","3525,YTD,Jan  1 2023 12:00AM,USD"
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,40762","93898,202301,0,YTD,Jan  1 2023 12:00AM,USD",
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,-1158510","1,732,023,011,423,540","224,YTD,Jan  1 2023 12:00AM,USD"
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,-47373","7,490,720,230,140,090","31987,YTD,Jan  1 2023 12:00AM,USD"
"Managed Services,Existing Source,Direct Cost,COE,Managed Services,,115839","9347,202205,0,YTD,May  1 2022 12:00AM,USD",
"SMS,Existing Source,Direct Cost,COE,MVNO,Retail,4258","3,599,732,022,059,560","279748,YTD,May  1 2022 12:00AM,USD"
"VAS,Existing Source,Direct Cost,COE,MVNO,Retail,2259977","592,022,052,256,016","995,YTD,May  1 2022 12:00AM,USD"
"Voice ,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,107714104","920,220,588,220,606","17,YTD,May  1 2022 12:00AM,USD"
"Other Data,Existing Source,Revenue,Revenue,MNO,Retail,-5819191","182,022,055,403,787","204,YTD,May  1 2022 12:00AM,USD"
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,52000","1,366,320,230,151,980","95235,YTD,Jan  1 2023 12:00AM,USD"
"Data Center ,Existing Source,Direct Cost,COE,Data Center,Recurring Business,24291","499,720,230,124,283","48974,YTD,Jan  1 2023 12:00AM,USD"
"Managed Services,Existing Source,Direct Cost,COE,Managed Services,,0,202301,0,YTD,Jan  1 2023 12:00AM,USD",,
"SMS,Existing Source,Direct Cost,COE,MVNO,Retail,1377","989,992,023,011,377","561111,YTD,Jan  1 2023 12:00AM,USD"
"Infrastructure,Existing Source,Direct Cost,COE,Data,Recurring Business,1712338","576,202205,0,YTD,May  1 2022 12:00AM,USD",
"VAS,Existing Source,Direct Cost,COE,MVNO,Retail,157796","9,949,202,301,157,740","8829,YTD,Jan  1 2023 12:00AM,USD"
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Direct Cost,COE,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,37402025896,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,7987497045,201704,0,MTD,Apr  1 2017 12:00AM,IDR",,
"Data Center ,ROAM,Direct Cost,COE,Data Center,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Data Center,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
