date_key,customer,bandwidth,subgroup,subgroup1,the_group,inner_group,inex,currency,type,date
202403,Conversant,0,Revenue,Revenue,Data,Other Data,External,IDR,YTD,2024-03-01 00:00:00.000
202403,Verizon,133,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-03-01 00:00:00.000
202403,Viettel,100000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-03-01 00:00:00.000
202403,Vodafone,1188,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-03-01 00:00:00.000
202404,Akamai International B.V,300000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,Bharti,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2024-04-01 00:00:00.000
202404,British Telecom,504,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2024-04-01 00:00:00.000
202404,China Telecom,160480,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,Chunghwa Telecom,2,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,CMC Telecom,500,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-04-01 00:00:00.000
202404,Global Transit Communications,40000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,GTT Communications,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,"Innove Communication, Inc",10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-04-01 00:00:00.000
202404,NTT Communications,60,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-04-01 00:00:00.000
202404,PCCW,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2024-04-01 00:00:00.000
202212,Tata Communications,4,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-12-01 00:00:00.000
202301,Akamai International B.V,110000,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2023-01-01 00:00:00.000
202301,China Telecom,0,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2023-01-01 00:00:00.000
202301,CJ Feed Myanmar,65,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2023-01-01 00:00:00.000
202301,Expereo,2,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2023-01-01 00:00:00.000
